model_name,problem,diagram,level,total_tests,successful_tests,success_rate_percent
Perception LM 1B 8bit,p084,block,1,1000,0,0.0
Perception LM 1B 8bit,p084,bpmn,1,1000,2,0.2
Perception LM 1B 8bit,p084,bpmn,2,1,0,0.0
Perception LM 1B 8bit,p084,bpmn,3,1000,0,0.0
Perception LM 1B 8bit,p084,fc,1,1000,0,0.0
Perception LM 1B 8bit,p084,fc,2,1000,0,0.0
Perception LM 1B 8bit,p084,fc,3,1000,0,0.0
Perception LM 1B 8bit,p106,block,1,1,0,0.0
Perception LM 1B 8bit,p106,bpmn,1,1,0,0.0
Perception LM 1B 8bit,p106,bpmn,2,1,0,0.0
Perception LM 1B 8bit,p106,bpmn,3,1,0,0.0
Perception LM 1B 8bit,p106,fc,1,1,0,0.0
Perception LM 1B 8bit,p106,fc,2,1,0,0.0
Perception LM 1B 8bit,p106,fc,3,1,0,0.0
Perception LM 1B 8bit,p108,block,1,1000,66,6.6
Perception LM 1B 8bit,p108,bpmn,1,1000,0,0.0
Perception LM 1B 8bit,p108,bpmn,2,1,0,0.0
Perception LM 1B 8bit,p108,bpmn,3,1000,0,0.0
Perception LM 1B 8bit,p108,fc,1,1000,0,0.0
Perception LM 1B 8bit,p108,fc,2,1000,0,0.0
Perception LM 1B 8bit,p108,fc,3,1,0,0.0
Perception LM 1B 8bit,p119,block,1,1000,0,0.0
Perception LM 1B 8bit,p119,bpmn,1,1,0,0.0
Perception LM 1B 8bit,p119,bpmn,2,1000,0,0.0
Perception LM 1B 8bit,p119,bpmn,3,1,0,0.0
Perception LM 1B 8bit,p119,fc,1,1,0,0.0
Perception LM 1B 8bit,p119,fc,2,1000,0,0.0
Perception LM 1B 8bit,p119,fc,3,1000,0,0.0
Perception LM 1B 8bit,p120,block,1,1000,86,8.6
Perception LM 1B 8bit,p120,bpmn,1,1000,0,0.0
Perception LM 1B 8bit,p120,bpmn,2,1000,0,0.0
Perception LM 1B 8bit,p120,bpmn,3,1000,0,0.0
Perception LM 1B 8bit,p120,fc,1,1000,0,0.0
Perception LM 1B 8bit,p120,fc,2,1000,0,0.0
Perception LM 1B 8bit,p120,fc,3,1000,0,0.0
Perception LM 1B 8bit,p126,block,1,1000,535,53.5
Perception LM 1B 8bit,p126,bpmn,1,1000,162,16.2
Perception LM 1B 8bit,p126,bpmn,2,1000,504,50.4
Perception LM 1B 8bit,p126,bpmn,3,1,0,0.0
Perception LM 1B 8bit,p126,fc,1,1000,0,0.0
Perception LM 1B 8bit,p126,fc,2,1000,0,0.0
Perception LM 1B 8bit,p126,fc,3,1000,0,0.0
Perception LM 1B 8bit,p131,block,1,1000,0,0.0
Perception LM 1B 8bit,p131,bpmn,1,1,0,0.0
Perception LM 1B 8bit,p131,bpmn,2,1000,121,12.1
Perception LM 1B 8bit,p131,bpmn,3,1000,40,4.0
Perception LM 1B 8bit,p131,fc,1,1000,121,12.1
Perception LM 1B 8bit,p131,fc,2,1000,0,0.0
Perception LM 1B 8bit,p131,fc,3,1000,0,0.0
Perception LM 1B 8bit,p147,block,1,1000,0,0.0
Perception LM 1B 8bit,p147,bpmn,1,1000,0,0.0
Perception LM 1B 8bit,p147,bpmn,2,1,0,0.0
Perception LM 1B 8bit,p147,bpmn,3,1000,0,0.0
Perception LM 1B 8bit,p147,fc,1,1000,70,7.0
Perception LM 1B 8bit,p147,fc,2,1000,0,0.0
Perception LM 1B 8bit,p147,fc,3,1000,0,0.0
Perception LM 1B 8bit,p150,block,1,1,0,0.0
Perception LM 1B 8bit,p150,bpmn,1,1000,0,0.0
Perception LM 1B 8bit,p150,bpmn,2,1000,0,0.0
Perception LM 1B 8bit,p150,bpmn,3,1000,0,0.0
Perception LM 1B 8bit,p150,fc,1,1000,0,0.0
Perception LM 1B 8bit,p150,fc,2,1000,0,0.0
Perception LM 1B 8bit,p150,fc,3,1000,0,0.0
Perception LM 1B 8bit,p155,block,1,1,0,0.0
Perception LM 1B 8bit,p155,bpmn,1,1000,0,0.0
Perception LM 1B 8bit,p155,bpmn,2,1,0,0.0
Perception LM 1B 8bit,p155,bpmn,3,1,0,0.0
Perception LM 1B 8bit,p155,fc,1,1,0,0.0
Perception LM 1B 8bit,p155,fc,2,1,0,0.0
Perception LM 1B 8bit,p155,fc,3,1,0,0.0
GPT5 Nano,p084,block,1,1000,1000,100.0
GPT5 Nano,p084,bpmn,1,1000,1000,100.0
GPT5 Nano,p084,bpmn,2,1000,1000,100.0
GPT5 Nano,p084,bpmn,3,1000,1000,100.0
GPT5 Nano,p084,fc,1,1000,1000,100.0
GPT5 Nano,p084,fc,2,1000,1000,100.0
GPT5 Nano,p084,fc,3,1000,1000,100.0
GPT5 Nano,p106,block,1,1000,1000,100.0
GPT5 Nano,p106,bpmn,1,1000,1000,100.0
GPT5 Nano,p106,bpmn,2,1000,1000,100.0
GPT5 Nano,p106,bpmn,3,1000,1000,100.0
GPT5 Nano,p106,fc,1,1000,1000,100.0
GPT5 Nano,p106,fc,2,1000,1000,100.0
GPT5 Nano,p106,fc,3,1000,88,8.8
GPT5 Nano,p108,block,1,1000,189,18.9
GPT5 Nano,p108,bpmn,1,1000,189,18.9
GPT5 Nano,p108,bpmn,2,1000,1000,100.0
GPT5 Nano,p108,bpmn,3,1000,59,5.9
GPT5 Nano,p108,fc,1,1000,189,18.9
GPT5 Nano,p108,fc,2,1000,189,18.9
GPT5 Nano,p108,fc,3,1000,66,6.6
GPT5 Nano,p119,block,1,1000,1000,100.0
GPT5 Nano,p119,bpmn,1,1000,1000,100.0
GPT5 Nano,p119,bpmn,2,1000,1000,100.0
GPT5 Nano,p119,bpmn,3,1000,1000,100.0
GPT5 Nano,p119,fc,1,1000,1000,100.0
GPT5 Nano,p119,fc,2,1000,1000,100.0
GPT5 Nano,p119,fc,3,1000,1000,100.0
GPT5 Nano,p120,block,1,1000,924,92.4
GPT5 Nano,p120,bpmn,1,1000,924,92.4
GPT5 Nano,p120,bpmn,2,1000,924,92.4
GPT5 Nano,p120,bpmn,3,1000,924,92.4
GPT5 Nano,p120,fc,1,1000,924,92.4
GPT5 Nano,p120,fc,2,1000,924,92.4
GPT5 Nano,p120,fc,3,1000,76,7.6
GPT5 Nano,p126,block,1,1000,1000,100.0
GPT5 Nano,p126,bpmn,1,1000,1000,100.0
GPT5 Nano,p126,bpmn,2,1000,1000,100.0
GPT5 Nano,p126,bpmn,3,1000,974,97.4
GPT5 Nano,p126,fc,1,1000,1000,100.0
GPT5 Nano,p126,fc,2,1000,1000,100.0
GPT5 Nano,p126,fc,3,1000,1000,100.0
GPT5 Nano,p131,block,1,1000,1000,100.0
GPT5 Nano,p131,bpmn,1,1000,1000,100.0
GPT5 Nano,p131,bpmn,2,1000,1000,100.0
GPT5 Nano,p131,bpmn,3,1000,1000,100.0
